system:index,NDVI,date,.geo
2014_01_01,0.8489587656336581,2014-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_01_17,0.8562127370094232,2014-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_02_02,0.8285712001053924,2014-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_02_18,0.8246610524217028,2014-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_06,0.8187754133623175,2014-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_03_22,0.8596104820920105,2014-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_04_07,0.6422942992827144,2014-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_04_23,0.8047656376322019,2014-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_05_09,0.4046535201811138,2014-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_05_25,0.8438200354764231,2014-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_06_10,0.46361361781485716,2014-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_06_26,0.5032293464575954,2014-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_07_12,0.6967176002091041,2014-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_07_28,0.5705341070662228,2014-07-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_08_13,0.34773092712674913,2014-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_08_29,0.8231284416015173,2014-08-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_09_14,0.8534486160351263,2014-09-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_09_30,0.7130839570842457,2014-09-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_10_16,0.7450574564828507,2014-10-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_11_01,0.5300070958297659,2014-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_11_17,0.8080703293554365,2014-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_12_03,0.7166550428129136,2014-12-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
2014_12_19,0.8500569704825779,2014-12-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_01_01,0.8466799122970039,2015-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_01_17,0.7933301606896639,2015-01-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_02_02,0.7739546456734936,2015-02-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_02_18,0.8499432645369773,2015-02-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_03_06,0.7967414412497774,2015-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_03_22,0.6222444482183314,2015-03-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_04_07,0.5927125221020724,2015-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_04_23,0.4451145874079468,2015-04-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_05_09,0.736272033584607,2015-05-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_05_25,0.6266682096586859,2015-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_06_10,0.5945712491658203,2015-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_06_26,0.5653785994039742,2015-06-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
2015_07_12,0.6400606976288643,2015-07-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
